,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
217,Westlake,Mohamad Sawan,"Chair Professor, Westlake University, China, and Emeritus Professor, Polytechnique Montréal",6044,54,37,322,158
218,Westlake,Bing Zhang,"Assistant Professor, Westlake University",1205,11,10,11,10
219,Westlake,Yongdeng Zhang,Westlake University,1589,19,19,23,22
220,Westlake,Liaoyong Wen,"School of Engineering, Westlake University",2380,31,27,39,34
221,Westlake,Yizhou Zhu,School of Engineering,6095,20,20,22,22
222,Westlake,Yuxi Xu,Westlake University,14378,57,53,87,86
223,Westlake,Lihan Zhang,Westlake University,428,11,11,11,11
224,Westlake,Jiaxing Huang,Westlake University,18733,84,65,138,124
225,Westlake,Peidong Liu,Westlake University,519,14,12,15,14
226,Westlake,Fajie Yuan,Westlake University,1079,15,15,20,20
227,Westlake,Changliang Liu,Westlake University,802,15,14,18,17
228,Westlake,Yanyan Zhang,"Assistant Professor, Westlake University",3434,38,31,48,46
229,Westlake,Wenxing Yang,"Center of Artificial Photosynthesis for Solar Fuels,​ School of Science, Westlake University",1055,17,17,27,26
230,Westlake,Dan Ma,Westlake University,1109,9,9,9,9
231,Westlake,Wenbin Li,Assistant Professor at Westlake University,1928,15,15,20,19
232,Westlake,Dixia Fan,"Assistant Professor, Westlake University",655,13,13,20,19
233,Westlake,Zhuchao Ji,"Institute for Theoretical Sciences, Westlake University",10,2,2,0,0
234,Westlake,Lei Sun,Westlake University,4913,23,22,26,24
235,Westlake,Yi Sun,"Principal Investigator, Westlake University",6245,14,11,14,12
236,Westlake,Liang Gao,Westlake University,2710,26,21,37,28
237,Westlake,Danyang He,Westlake University,623,8,8,8,8
238,Westlake,Ting Zhou,Westlake University,1306,9,9,9,9
239,Westlake,Jianjun Cheng,"Chair Professor of Materials Science and Engineering, Westlake University",14494,79,65,218,200
